省级行政区,地级行政区,景点名称,评分,地址,评语,价格,销量,经度,纬度,交通
河南省,开封市,清明上河园,1,河南省开封市龙亭区龙亭西路5号,穿越宋朝，亲身体验清明上河图,45,"2,540",114.35,34.82,5.30
河南省,安阳市,殷墟景区,0.94,河南省安阳市西北郊小屯村,商朝晚期都城遗址，甲骨文发掘地,5,440,114.32,36.15,3.30
河南省,安阳市,红旗渠、太行大峡谷旅游景区,1,河南省安阳市林州市任村镇太行路225号,渠水奔腾，飞瀑喷雪，好似银河倾泻,75,"1,030",113.71,36.16,68.20
河南省,平顶山市,尧山—中原大佛景区,1,河南省平顶山市鲁山县尧山镇西竹园村,游尧山，拜大佛，浴温泉,3,618,112.47,33.77,117.20
河南省,南阳市,西峡伏牛山老界岭·恐龙遗址园旅游区,0.82,河南省南阳市西峡县太平镇东平村,山川秀美、林海苍莽，四季景色异彩纷呈,50,386,111.69,33.24,93.60
河南省,驻马店市,嵖岈山旅游景区,0.98,河南驻马店遂平县嵖岈山村,漫道黄山天下奇，嵖岈峭丽世间稀,0,0,113.74,33.14,44.20
河南省,商丘市,芒砀山旅游景区,0.88,河南省永城市芒山镇芒砀山景区,一座著名的汉文化旅游胜地,45,414,116.52,34.18,96.90
河南省,新乡市,八里沟景区,0.84,河南省新乡辉县市上八里镇松树坪村,荟萃太行山水精华,54.30,"1,170",113.55,35.59,44.30
河南省,信阳市,鸡公山景区,1,河南省信阳市浉河区鸡公山国家级风景名胜区,中国四大避暑圣地之一,54.90,424,114.08,32.14,36.60
湖北省,武汉市,黄鹤楼公园,1,湖北省武汉市武昌区蛇山,孤帆远影碧空尽，唯见长江天际流,65,"8,032",114.31,30.55,15.50
湖北省,武汉市,东湖景区,0,上海市崇明县陈家镇瀛东村,泛舟东湖，躬耕陇亩，尽享农家之乐,16,54,114.42,30.56,8.20
湖北省,武汉市,黄陂木兰文化生态旅游区,0.51,湖北武汉黄陂区境内,避暑圣地,132,36,114.40,31.10,70.70
湖北省,宜昌市,三峡大坝-屈原故里旅游区,0.74,湖北省宜昌市秭归县城西部,是新三峡十景之一,67,208,110.84,30.94,62.30
湖北省,宜昌市,三峡人家风景区,0.78,湖北省宜昌市夷陵区西陵峡内,三峡风光，巴风楚韵,80,"4,078",111.16,30.80,34.90
湖北省,宜昌市,三峡大瀑布景区,0.70,湖北省宜昌市夷陵区黄花乡黄花场村,天然瀑布群和峡谷丛林风光,30,"2,060",111.33,30.93,40.50
湖北省,宜昌市,长阳清江画廊风景区,0.72,湖北省宜昌市长阳县龙舟坪镇晒鼓坪村,无法抗拒的山清水秀，谁来谁说好,70,"1,880",111.25,30.53,55.90
湖北省,十堰市,武当山风景区,1,湖北省十堰市丹江口市武当山景区,一座历史悠久的仙山，武当拳的发源地,66,"1,436",111.07,32.47,40.20
湖北省,恩施土家族苗族自治州,神龙溪纤夫文化旅游区,0.88,湖北省恩施土家族苗族自治州巴东024县道,国家保护地，自然风光好，有点神秘的地方,200,876,110.32,31.26,86.30
湖北省,恩施土家族苗族自治州,恩施大峡谷景区,0.02,湖北省恩施市西北部沐抚办事处境内,有天坑，有地缝，有天生桥，有溶洞,0.20,"3,173",109.17,30.43,49.90
湖北省,恩施土家族苗族自治州,腾龙洞景区,0.96,腾龙洞游客中心,旅游、疗养、探险、地质考察的理想之地,20,"2,396",108.99,30.34,79.70
湖北省,神农架林区,神农架生态旅游区,0.84,湖北省神农架林区境内,带你纵览神农美景，旅游的理想胜地,9.90,242,110.70,31.75,108.10
湖北省,咸宁市,三国赤壁古战场景区,0.77,湖北省咸宁赤壁市赤壁镇武侯巷6号,穿越三国，感受三国赤壁的战火纷飞,115,302,113.64,29.89,85.30
湖北省,襄阳市,古隆中景区,1,湖北省襄阳襄城区隆中路461号,诸葛亮“躬耕陇亩”，刘备“三顾茅庐”之地,80,"1,412",111.68,32.38,19.60
湖南省,衡阳市,南岳衡山旅游区,0.74,湖南省衡阳市南岳区衡山风景区内,历来是神仙居住的洞府,25,34,112.72,27.28,50.40
湖南省,张家界市,张家界武陵源—天门山旅游区,0.70,北京市密云县石城镇柳棵峪,观日出、看云海，赏地质奇观,25,4,110.50,29.02,36.40
湖南省,长沙市,岳麓山—橘子洲景区,0.92,湖南省长沙市岳麓区登高路58号,赏枫胜地，不在别处！就在这儿,0.40,194,112.94,28.19,20.70
湖南省,长沙市,花明楼景区,0.72,湖南省长沙市宁乡县花明楼镇炭子冲村,再现了刘少奇在这里学习和活动的部分场景,0.30,218,112.65,28.04,49.90
湖南省,岳阳市,岳阳楼—君山岛景区,1,湖南省岳阳市岳阳楼区洞庭北路60号,未到江南先一笑，岳阳楼上对君山,66,"2,336",113.01,29.36,24.70
湖南省,湘潭市,韶山旅游区,0.28,湖南省湘潭韶山市,怀缅伟人的丰功伟绩，珍惜和平的来之不易,6,320,112.50,27.91,49.30
湖南省,郴州市,东江湖旅游区,0.86,湖南省郴州资兴市x203,急流险滩，龙景峡谷,80,"5,569",113.32,25.87,33.70
湖南省,邵阳市,崀山景区,1,湖南省邵阳市新宁县崀山,避暑度假，探险猎奇的理想去处,68,288,110.80,26.36,128.60
湖南省,株洲市,炎帝陵景区,0.45,山西省晋城市高平市东北17公里处庄里村,中华民族的始祖炎帝长眠于此,50,12,113.68,26.43,203.40
湖南省,常德市,桃花源旅游区,0.72,江西省九江市星子县,两岸青山合抱、雾绕云遮,0,0,111.45,28.80,65.40
湖南省,湘西土家族苗族自治州,矮寨·十八洞·德夯大峡谷景区,0.94,湖南省湘西州吉首市德夯大峡谷,峡谷悬索桥上走，好似云中漫步行,180,16,109.59,28.35,33.60
广东省,广州市,长隆旅游度假区,0.70,广东省广州市番禺区番禺大道,一站式旅游度假胜地，广东必游景点,93,"11,236",113.33,23.01,25.30
广东省,广州市,白云山风景区,0.84,湖南省邵阳武冈市云山国家森林公园,一座历史悠久的名山，为全国第六十九福地,0,0,113.30,23.17,9.30
广东省,深圳市,深圳华侨城旅游度假区,0.03,江苏省姜堰市溱湖大道2号,中国湿地生态温泉名城,87,6,113.99,22.54,17
广东省,深圳市,观澜湖休闲旅游区,0.35,广东省深圳市龙华新区高尔夫大道观澜湖新城对面（观澜乡村俱乐部旁）,集大自然美景和休闲娱乐为一体的生态公园,85,34,114.00,22.70,32.10
广东省,佛山市,西樵山景区,0.92,广东省佛山市南海区西樵镇环山大道山南路,几千年的沧桑沉淀凝练了西樵山的独特文化,50,200,112.98,22.93,33.50
广东省,佛山市,长鹿旅游休博园,0.92,广东省佛山市顺德区伦教三洲建设东路8号,公园有很多树遮阳的地方,88,"2,413",113.30,22.88,44.50
广东省,韶关市,丹霞山景区,0.16,广西壮族自治区河池市南丹县吾隘镇丹炉山,现存完整的炼丹遗址等你来参观~,158,18,113.73,25.03,59.50
广东省,梅州市,雁南飞茶田景区,0.86,广东省梅州市梅县区雁洋镇,青山环绕中呈现一幅世外桃源的醉人画卷,70,132,116.37,24.39,42.30
广东省,惠州市,罗浮山景区,0.70,安徽省安庆市枞阳县浮山镇,一座佛教文化名山,68,28,114.08,23.27,53.60
广东省,惠州市,惠州西湖旅游景区,1,浙江省杭州市西湖区龙井路1号,在这里邂逅你的白娘子吧,7.50,"4,446",114.41,23.09,9.50
广东省,中山市,孙中山故里旅游区,0.86,中山市翠亨大道45号,浓缩了孙中山先生从事革命活动的纪念地，感受孙中山先生波澜壮阔的革命一生，体验到影视旅游的独到魅力,0,"5,698",113.53,22.45,21.20
广东省,江门市,开平碉楼文化旅游区,0.98,广东省江门开平市五五五县道,中国华侨文化的纪念丰碑,50,252,112.59,22.38,77.50
广东省,阳江市,海陵岛大角湾海上丝路旅游区,0.89,广东省阳江市海陵岛闸坡镇海滨路38号,南海鱼仓,3,26,111.85,21.58,44.70
广东省,肇庆市,星湖旅游景区,1,肇庆市端州区星湖大道,群山环绕，湖水碧绿,56,386,112.48,23.06,5.70
广东省,清远市,连州地下河旅游景区,0.76,广东省清远连州市东陂镇大洞村,洞中石笋、石柱、石花、石幔，诡谲奇特,95.80,"2,148",112.34,25.01,223.10
广西壮族自治区,桂林市,漓江景区,1,广西壮族自治区桂林市阳朔县,分明看见青山顶，船在青山顶上行,19.90,"2,255",110.44,25.15,24.60
广西壮族自治区,桂林市,乐满地度假世界,0.54,广西壮族自治区兴安县灵湖路,观光、休闲、旅游、度假于一体,55,230,110.31,25.31,7.12
广西壮族自治区,桂林市,独秀峰－王城景区,0.72,广西壮族自治区桂林市秀峰区王城路1号,明代王府清朝贡院所在地，阅尽王城知桂林,79,960,110.31,25.29,3.70
广西壮族自治区,桂林市,两江四湖·象山景区,0.70,广西壮族自治区桂林市民主路52号,桂林城徽，绝美赏月地领略三月争辉奇景,51,"2,603",110.30,25.27,3.90
广西壮族自治区,崇左市,德天跨国瀑布景区,1,广西壮族自治区崇左市大新县硕龙镇陇宏村德天跨国瀑布景区,天然跨国瀑布，中国六大著名瀑布之一,78,"4,336",106.74,22.86,104.40
广西壮族自治区,百色市,百色起义纪念园景区,1,百色市右江区城东路112号,两江红旗，百色风雷,0,890,106.65,23.91,3.70
广西壮族自治区,南宁市,青秀山旅游区,0.82,广西壮族自治区南宁市青秀区青山路19号,被誉为“南宁市的巨肺”,18,"2,468",108.36,22.87,14
广西壮族自治区,北海市,涠洲岛南湾鳄鱼山景区,0.92,广西省北海市南北部湾海域,秀美的火山岛，感受渔家风情,107,"3,386",109.11,21.02,5.60
广西壮族自治区,贺州市,黄姚古镇景区,1,广西壮族自治区贺州市昭平县,诗境家园，电影《面纱》拍摄地,82,"4,662",111.21,24.25,63
海南省,三亚市,南山文化旅游区,0.76,海南省三亚市崖城镇南山村,108米的海上三面观音，三亚不容错过之旅,118,"6,647",109.22,18.31,24.70
海南省,三亚市,南山大小洞天旅游区,0.72,江苏省镇江市润州区竹林路98号,重峦叠翠、茂林修竹、山深水秀、泉涌溪流,34.90,72,109.16,18.31,32
海南省,三亚市,蜈支洲岛旅游区,0.86,海南省三亚市林旺镇海棠湾蜈支洲岛,私人订制主取景地,133,"4,979",109.77,18.32,42.10
海南省,三亚市,分界洲岛旅游区,0.50,海南省三亚东线高速公路牛岭15号出口处,海底生态景观保存完整潜水胜地海豚表演,198,83,109.52,18.26,95.10
海南省,三亚市,呀诺达雨林文化旅游区,0.12,海南省保亭黎族苗族自治县三道农场呀诺达雨林文化旅游区,地处北纬18度的热带雨林,135,"1,148",109.49,18.32,45.40
海南省,三亚市,槟榔谷黎苗文化旅游区,0.72,海南省三亚市保亭黎苗族自治县甘什岭自然保护区,一个逃逸世俗的心灵驿站,35,910,109.49,18.32,38.20
重庆市,重庆市,重庆大足石刻景区,0.78,重庆市大足县龙岗镇北山路7号,欣赏真正的“千手”观音,140,"1,484",105.80,29.76,99.40
重庆市,重庆市,重庆小三峡-小小三峡,0.74,重庆市巫山县广东中路170号,长江三峡旅游水道线上一颗璀璨明珠,113,886,109.89,31.24,7.90
重庆市,重庆市,武隆喀斯特旅游区（天生三桥、仙女山、芙蓉洞),0.76,重庆市武隆县江口镇芙蓉路88号,《中国国家地理》评出的中国第二美溶洞,146,276,107.82,29.44,179.10
重庆市,重庆市,金佛山-神龙峡景区,0.72,重庆市南川区金佛山西坡旅游区,山势雄奇秀丽，景色深秀迷人,66,916,107.06,29.00,113.50
重庆市,重庆市,酉阳桃花源景区,0.72,江西省九江市星子县,两岸青山合抱、雾绕云遮,0,0,108.76,28.86,84.10
重庆市,重庆市,黑山谷景区,0.72,重庆市万盛区黑山镇境内,重庆独特的生物基因库，西南神农架,400,"1,792",106.98,28.87,99.30
重庆市,重庆市,江津四面山景区,0.72,重庆市江津区四面山风景区,生机盎然，峡谷深山，森林莽莽,40,"1,964",106.40,28.62,135.90
重庆市,重庆市,云阳龙缸景区,0.70,重庆市云阳县清水镇,浓郁土家风情，长江三峡的香格里拉,5,976,109.01,30.67,127.30
重庆市,重庆市,阿依河景区,0.70,重庆市彭水县汉葭镇柏香村,江面绿水清幽，两岸翠竹环绕，亲近自然,55,176,108.13,29.16,231.30
重庆市,重庆市,濯水景区,0.66,重庆市黔江区濯水镇距黔江主城26公里,乘船沿河而入，听空山鸟鸣，赏两岸胜景,86.60,196,108.78,29.30,20.90
重庆市,重庆市,白帝城·瞿塘峡景区,0.78,重庆市近郊奉节县瞿塘峡口长江北岸,三国史上悲壮的一幕，刘备托孤之地,88,780,109.59,31.04,53.20
四川省,成都市,青城山—都江堰旅游景区,1,四川省成都市都江堰市,感受都江堰水利工程的古人智慧,40,"10,178",103.60,30.91,65.30
四川省,成都市,安仁古镇景区,0.81,四川省成都市大邑县安仁镇,建筑风格中西结合，号称川西建筑文化精品,18,398,103.63,30.51,56.70
四川省,乐山市,峨眉山景区,1,四川省乐山峨眉山市峨眉山风景名胜区,云上金顶，天下峨眉,155,"8,173",103.36,29.57,36.30
四川省,乐山市,乐山大佛景区,0.82,四川省乐山市市中区凌云路2435号簏子街,摩崖石刻造像,80,"6,980",103.78,29.54,19.30
四川省,阿坝藏族羌族自治州,九寨沟旅游景区,1,四川省阿坝藏族羌族自治州九寨沟县漳扎镇九寨沟,传说中的童话天堂，你还在犹豫么,680,"1,354",102.23,31.91,86.40
四川省,阿坝藏族羌族自治州,黄龙景区,0.74,四川省阿坝藏族羌族自治州松潘县,保护完好的高原湿地,250,892,103.84,32.75,34.50
四川省,阿坝藏族羌族自治州,汶川特别旅游区,0.70,四川阿坝州汶川县映秀镇,汶川地震震中纪念地，遗迹让人次次驻足,118,10,103.49,31.06,94.80
四川省,南充市,阆中古城旅游景区,1,四川省阆中市阆水中路33号,张飞镇守的风水古城,10,"1,694",105.97,31.58,99.40
四川省,南充市,仪陇朱德故里景区,0.96,四川省南充市仪陇县马鞍镇大湾路,全国百个红色经典景区之一,30,438,106.61,31.47,141.70
四川省,绵阳市,北川羌城旅游区,0.90,四川省绵阳市北川羌族自治县任家坪村,具有很浓郁的羌族风格,118,50,104.47,31.61,61.40
四川省,广安市,邓小平故里旅游区,0.84,四川省广安市广安区协兴镇,全国爱国主义教育基地,0.60,80,106.64,30.53,311.30
四川省,广元市,剑门蜀道剑门关旅游区,1,四川省广元市剑阁县河东街64号,自然风光雄、奇、幽、秀,95,"4,434",105.58,32.23,54
四川省,甘孜藏族自治州,海螺沟景区,0.90,四川省甘孜藏族自治州泸定县木西镇共和村,云海仙境，让我迷失在你的神秘里,160,"2,402",102.07,29.59,160.30
四川省,甘孜藏族自治州,稻城亚丁旅游景区,1,四川省甘孜藏族自治州稻城县,从你的全世界路过,341,"3,638",100.30,29.04,633.80
四川省,雅安市,碧峰峡旅游景区,0.90,四川省雅安市雨城区下里乡碧峰镇,听浪漫传说，呼吸大自然新鲜空气,93,"3,302",103.00,30.08,22.50
四川省,巴中市,光雾山旅游景区,1,四川省巴中市南江县北部光雾山镇,中国红叶名山，刘关张桃园结义处,75,74,106.81,32.69,122
贵州省,安顺市,黄果树大瀑布景区,0.44,贵州省安顺市镇宁县黄果树瀑布景区内,领略到黄果树瀑布的雄奇和壮观,50,28,105.68,25.98,42.40
贵州省,安顺市,龙宫景区,0.72,贵州省安顺市镇宁县龙宫镇,览龙宫知天下水洞，荡轻舟临人间仙境,85,"2,376",105.89,26.11,32.30
贵州省,毕节市,百里杜鹃景区,1,贵州省毕节市黔西县普底乡,每年杜鹃花开时，漫山遍野一片红,50,4,105.95,27.19,50.60
贵州省,毕节市,织金洞景区,1,贵州省毕节市织金县官寨乡织金洞景区,黄山归来不看岳， 织金洞外无洞天,20,"1,452",105.91,26.77,110.50
贵州省,黔南布依族苗族自治州,荔波樟江景区,1,贵州省黔南布依族苗族自治州荔波县城南部30余公里,感受马帮文化，茶马古道文化,0,0,107.75,25.26,12.60
贵州省,贵阳市,青岩古镇景区,0.82,贵阳市花溪区交通路240号,由土城而渐成街巷纵横错综之石城,30,"1,332",106.69,26.34,34.60
贵州省,铜仁市,梵净山旅游区,1,中国贵州铜仁地区江口县梵净山,独一无二，惊世骇俗,110,"3,772",109.20,27.74,67.40
贵州省,黔东南苗族侗族自治州,镇远古城旅游景区,0.92,贵州省黔东南苗族侗族自治州镇远县顺城路镇远,历史文化名城,50,36,108.43,27.06,48.50
贵州省,遵义市,赤水丹霞旅游区,0.84,贵州省赤水市两河口乡,森林原始，生态系统完整，地势险峻,138,182,105.95,28.41,226.20
云南省,昆明市,石林风景区,0.78,云南省昆明市石林彝族自治县境内,怪石林立，突兀峥嵘，姿态各异,0.90,974,103.33,24.82,84.50
云南省,昆明市,昆明世博园景区,0.97,云南省昆明市盘龙区昆明世博园国际馆,“人与自然，和谐发展”的完美体现,188,30,102.77,25.08,11.80
云南省,丽江市,玉龙雪山景区,0.96,云南省丽江市玉龙纳西族自治县,壮美大雪山，十三座雪峰连绵不绝,184,"1,602",100.21,27.14,42.40
云南省,丽江市,丽江古城景区,1,云南省丽江市玉龙纳西族自治县东大街1号,一座没有城墙的古城，依山傍水，风景秀丽,27.50,610,100.23,26.88,8.40
云南省,大理白族自治州,崇圣寺三塔文化旅游区,0.86,云南省大理市大理古城西北两公里的苍山应乐峰下,大理的标志和象征，来大理不可错过的地方哦,94,"1,276",100.15,25.71,19.70
云南省,西双版纳傣族自治州,中国科学院西双版纳热带植物园,0.84,云南省西双版纳州勐腊县勐仑镇(近野象谷),四千余种来自世界各地的热带植物栖居于此,79,814,101.26,21.93,62.20
云南省,迪庆藏族自治州,香格里拉普达措景区,0.88,云南省迪庆藏族自治州香格里拉县建塘镇双桥,张杰谢娜婚礼之地，原始森林中的伊甸园,100,910,99.95,27.86,24.10
云南省,保山市,腾冲火山热海旅游区,0.78,云南省保山市腾冲县离县城10公里,囊括世界9大温泉种类，是泡温泉的好去处,3.90,468,98.45,24.95,153.20
云南省,文山壮族苗族自治州,普者黑旅游景区,1,云南省文山壮族苗族自治州丘北县城西13公里,中国独一无二的喀斯特山水田园风光,165,476,104.14,24.12,12.70
西藏自治区,拉萨市,布达拉宫景区,1,西藏自治区拉萨市城关区北京中路35号,朝圣者的天堂,177,"2,600",91.13,29.66,7.70
西藏自治区,拉萨市,大昭寺,0.92,西藏拉萨市城关区中心八角街,西藏辉煌的一座吐蕃时期的建筑,108,478,91.14,29.66,8.80
西藏自治区,林芝市,巴松措景区,0.76,西藏自治区林芝地区工布江达县,藏传佛教红教神湖，湖水碧绿，周围青山悠悠,140,144,93.97,30.01,135.30
西藏自治区,林芝市,雅鲁藏布大峡谷旅游景区,0.42,西藏省林芝地区米林县雅鲁藏布大峡谷风景区,观峡谷，赏美峰,290,94,94.94,29.62,81.10
西藏自治区,日喀则市,扎什伦布寺景区,0.90,西藏日喀则市几吉郎卡路1号,可与布达拉宫相媲美，六大黄教寺院之一,399,6,88.88,29.27,7.70
陕西省,西安市,秦始皇兵马俑博物馆,0.86,陕西省西安市临潼区秦陵北路西端秦始皇陵丽山园景区正门入口右边,秦始皇帝陵博物院的组成部分,1.60,692,109.29,34.39,37.90
陕西省,西安市,华清池景区,0.64,陕西省西安市临潼区华清路38号华清池,中国首部大型实景历史舞剧,224,"5,123",109.22,34.37,29.30
陕西省,西安市,大雁塔·大唐芙蓉园景区,0.70,在山西霍县城南2公里塬上,仰观古塔，远览山川风光，乐趣无穷,0,0,108.98,34.22,8
陕西省,西安市,城墙·碑林历史文化景区,0.80,陕西省西安市碑林区三学街15号（近书院门）,每一块碑石都经历了一段历史,60,"1,022",108.95,34.26,3.50
陕西省,西安市,大明宫旅游景区,0.88,陕西省西安市新城区自强东路585号.,展出了明代的建筑物和大明的建筑遗迹,60,"2,435",108.97,34.32,2.10
陕西省,延安市,黄帝陵景区,1,陕西省延安市黄陵县城北的桥山颠,中华始祖黄帝轩辕氏的陵墓,69,"2,771",109.28,35.59,140.40
陕西省,延安市,延安革命纪念地景区,0.74,陕西省延安市宝塔区王家坪,被中宣部命名为“百名爱国主义教育基地”,100,37,109.50,36.66,6.90
陕西省,延安市,黄河壶口瀑布旅游区,1,陕西省延安市宜川县壶口乡,有”千里黄河一壶收”的气概,83.40,"3,822",111.53,36.09,130.20
陕西省,渭南市,华山景区,1,陕西省渭南市华阴市境内,只有天在上，更无山与齐,160,"8,584",110.07,34.50,59.20
陕西省,宝鸡市,法门寺佛文化景区,1,陕西省宝鸡市扶风县城北10公里法门镇,释迦牟尼佛指舍利供奉圣地,96,"1,376",107.91,34.44,93.90
陕西省,宝鸡市,太白山旅游景区,0,东北吉林省长春市南关区人民大街2866号,山峰林立，绵亘起伏，沟谷交错，河流纵横,0,0,107.92,34.14,88.80
陕西省,商洛市,金丝峡景区,0.80,陕西省商洛市商南县金丝峡镇,风光秀丽，风格独特，风景如画,95,434,110.57,33.36,97.90
甘肃省,嘉峪关市,嘉峪关文物景区,0.84,甘肃省嘉峪关市明万里长城最西端,嘉峪关——万里长城西端的主宰,108,"2,744",98.23,39.81,7.20
甘肃省,平凉市,崆峒山风景名胜区,1,甘肃省平凉市崆峒区城西12公里处,崆峒派驻地，小心七伤拳,137,602,106.49,35.54,13.70
甘肃省,天水市,麦积山景区,1,甘肃省天水市麦积区麦积镇麦积村,中国佛教四大石窟之一，完美的石窟艺术宝库,80,"2,273",106.01,34.37,30.40
甘肃省,酒泉市,鸣沙山月牙泉景区,0.78,新疆哈密巴里坤盆地东缘,哈密鸣沙山南距口门子约12千米，东侧有302省国道通过。鸣沙山位于哈密巴里坤盆地东缘，四周高山环绕，方圆约25平方千米，,0,0,94.69,40.09,398.30
甘肃省,张掖市,七彩丹霞景区,0.62,甘肃省张掖市临泽县七彩丹霞旅游景区主入口与张肃公路交汇处,体验地域民风，感受张掖千古情怀,0,0,100.08,38.96,46.40
甘肃省,临夏回族自治州,炳灵寺世界文化遗产旅游区,0.70,甘肃省临夏州永靖县,石窟开凿在黄河北岸大寺沟的峭壁之上,129,88,103.07,35.82,71.10
甘肃省,陇南市,官鹅沟景区,0.98,宕昌县城关镇,山清水秀，鸟语花香，峰回路转，曲经通幽,0,0,104.40,34.02,118.30
青海省,海北藏族自治州,青海湖景区,0.50,青海省海南藏族自治州共和县,内陆湖泊和咸水湖,87,"1,212",100.92,36.97,160
青海省,海北藏族自治州,阿咪东索景区,0.86,青海省海北藏族自治州祁连县城东南9公里302省道旁,阿咪东索，一山尽览四季美景,60,"1,654",100.33,38.11,269.90
青海省,西宁市,塔尔寺景区,0.86,河北省唐山市迁安市大五里乡上庄子村,山林资源丰富，生态系统良好。,33.80,38,101.57,36.49,34.90
青海省,海东市,互助土族故土园景区,0.70,青海省海东地区互助县威远镇北街1号,雄奇独特的生态环境、古老神秘的文化遗迹,100,14,101.94,36.84,88.40
宁夏回族自治区,石嘴山市,沙湖旅游景区,1,宁夏省石嘴山市平罗县境内西大滩（沙湖生态旅游区）,看珍鸟奇禽，群鸟嬉戏的绝佳之地,90,"2,415",106.37,38.81,15.50
宁夏回族自治区,中卫市,沙坡头旅游景区,1,宁夏回族自治区中卫市沙坡头区迎水桥镇,欧亚大通道，古丝绸之路的必经之地,75,"4,058",105.01,37.48,22.80
宁夏回族自治区,银川市,镇北堡西部影视城,0.88,宁夏省银川市西夏区镇北堡西部影城,邂逅“东方好莱坞”,76,"8,132",106.08,38.62,23.70
宁夏回族自治区,银川市,灵武水洞沟旅游区,0.78,宁夏银川灵武市宁夏银川灵武市临河镇水洞沟旅游景区内,我国最早的地道战遗址和原型,0,0,106.52,38.30,48.70
新疆维吾尔自治区,昌吉回族自治州,新疆天山天池风景名胜区,1,新疆维吾尔自治区昌吉回族自治州阜康市,湖畔森林茂密，绿草如茵,155,"3,113",87.64,43.80,94
新疆维吾尔自治区,昌吉回族自治州,江布拉克景区,0.75,新疆昌吉奇台县,奇台魔鬼城所在地，新疆独特雅丹地貌,21,278,89.69,43.56,257
新疆维吾尔自治区,吐鲁番市,葡萄沟风景区,1,新疆省吐鲁番市东北10公里的火焰山中,去新疆必游之地,79,"1,998",89.25,43.01,52
新疆维吾尔自治区,阿勒泰地区,喀纳斯景区,1,新疆阿勒泰布尔津县环城南西路3号,【注意】水怪出没！快来一探究竟吧,375,"2,877",87.14,48.51,259.70
新疆维吾尔自治区,阿勒泰地区,可可托海景区,0.72,新疆维吾尔自治区阿勒泰地区富蕴县可可托海镇以东5公里处,西北边陲上，人少景美新去处,110,"2,460",89.89,47.23,279.50
新疆维吾尔自治区,阿勒泰地区,白沙湖景区,0.70,新疆维吾尔自治区阿勒泰地区哈巴河县,犹如一个完美无缺的自然大盆景,39,22,86.49,48.04,297.20
新疆维吾尔自治区,伊犁哈萨克自治州,那拉提旅游风景区,1,新疆维吾尔自治区伊犁哈萨克自治州新源县,“塞外江南”给你群山俊秀，绿草如茵的美景,67,638,84.03,43.33,254
新疆维吾尔自治区,伊犁哈萨克自治州,喀拉峻景区,0.29,新疆维吾尔自治区伊犁特克斯县的南部天山之中,中国巅峰自然美?世界自然遗产喀拉峻国际生态旅游区位于伊犁特克斯县境内，距“八卦城”县城15公里，由阔克苏大峡谷景区、东喀,105,258,82.16,43.14,114.20
新疆维吾尔自治区,喀什地区,泽普金湖杨景区,0.26,新疆喀什地区泽普县奎依巴格乡亚斯墩林场(泽普县西南40公里处),看胡杨林生而千年不死，死而千年不倒,38,98,77.27,38.20,244.80
新疆维吾尔自治区,喀什地区,喀什噶尔老城景区,0.34,新疆维吾尔自治区喀什地区喀什市亚瓦格路,著名的艾提尕尔清真寺与它隔街相望,3,31,76.00,39.48,6.50
新疆维吾尔自治区,喀什地区,帕米尔旅游区,0.70,新疆喀什地区塔什库尔干县,帕米尔高原--亚洲屋脊,160,8,75.21,37.80,300.50
新疆维吾尔自治区,乌鲁木齐市,天山大峡谷景区,1,新疆哈密地区东天山北坡,心旷神怡、流连忘返,0,0,87.64,43.80,59.30
新疆维吾尔自治区,巴音郭楞蒙古自治州,博斯腾湖景区,0.78,新疆-巴音郭楞-库尔勒市博湖县境内,苇翠荷香，曲径邃深，被誉为“世外桃园”,3,78,86.79,41.75,83
新疆维吾尔自治区,巴音郭楞蒙古自治州,和静巴音布鲁克景区,0.76,新疆巴音郭楞州库尔勒市和静县西北,这里雪峰环抱，地势跌宕，水草美风光诱人,50,95,84.44,42.77,358.60
新疆维吾尔自治区,克拉玛依市,世界魔鬼城景区,1,新疆克拉玛依市东北部乌尔禾区境内,具有丰富的科学内涵和极高的观赏价值,27,"4,525",85.75,46.14,112.30
新疆维吾尔自治区,博尔塔拉蒙古自治州,赛里木湖景区,0.40,新疆博尔塔拉蒙古自治州博乐市东北48公里怪石沟景区内,神奇秀丽的自然风光,70,"2,222",81.19,44.50,97
新疆维吾尔自治区,博尔塔拉蒙古自治州,塔克拉玛干·三五九旅文化旅游区,0.84,新疆维吾尔自治区阿克苏地区阿克苏市,全世界第二大流动沙漠,136,60,82.07,44.91,119.30
